"CBSA","DIV","CSA","Type","Population","CBSA Name","Div Name","CSA Name"
"21780",,,"Metro","315,263","Evansville, IN-KY",,
"21820",,,"Metro","100,031","Fairbanks, AK",,
"21840",,,"Micro","17,945","Fairfield, IA",,
"21860",,,"Micro","20,084","Fairmont, MN",,
"21900",,"390","Micro","56,575","Fairmont, WV",,"Morgantown-Fairmont, WV"
"21980",,,"Micro","24,022","Fallon, NV",,
"22020",,"244","Metro","232,660","Fargo, ND-MN",,"Fargo-Wahpeton, ND-MN"
"22060",,"378","Micro","65,251","Faribault-Northfield, MN",,"Minneapolis-St. Paul, MN-WI"
"22100",,"476","Micro","66,248","Farmington, MO",,"St. Louis-St. Charles-Farmington, MO-IL"
"22140",,,"Metro","128,221","Farmington, NM",,
"22180",,"246","Metro","385,337","Fayetteville, NC",,"Fayetteville-Sanford-Lumberton, NC"
"22220",,,"Metro","514,166","Fayetteville-Springdale-Rogers, AR",,
"22260",,,"Micro","57,790","Fergus Falls, MN",,
"22280",,"456","Micro","52,303","Fernley, NV",,"Reno-Carson City-Fernley, NV"
"22300",,"534","Micro","75,508","Findlay, OH",,"Toledo-Findlay-Tiffin, OH"
"22340",,,"Micro","17,272","Fitzgerald, GA",,
"22380",,,"Metro","138,639","Flagstaff, AZ",,
"22420",,"220","Metro","410,881","Flint, MI",,"Detroit-Warren-Ann Arbor, MI"
"22500",,,"Metro","206,109","Florence, SC",,
"22520",,,"Metro","147,025","Florence-Muscle Shoals, AL",,
"22540",,,"Metro","102,082","Fond du Lac, WI",,
"22580",,,"Micro","66,523","Forest City, NC",,
"22620",,"368","Micro","26,688","Forrest City, AR",,"Memphis-Forrest City, TN-MS-AR"
"22660",,,"Metro","330,976","Fort Collins, CO",,
"22700",,,"Micro","36,945","Fort Dodge, IA",,
"22780",,,"Micro","53,132","Fort Leonard Wood, MO",,
"22800",,"161","Micro","59,856","Fort Madison-Keokuk, IA-IL-MO",,"Burlington-Fort Madison-Keokuk, IA-IL-MO"
"22820",,,"Micro","28,123","Fort Morgan, CO",,
"22840",,"497","Micro","71,194","Fort Payne, AL",,"Scottsboro-Fort Payne, AL"
"22860",,"217","Micro","51,906","Fort Polk South, LA",,"DeRidder-Fort Polk South, LA"
"22900",,,"Metro","280,705","Fort Smith, AR-OK",,
"23060",,"258","Metro","429,060","Fort Wayne, IN",,"Fort Wayne-Huntington-Auburn, IN"
"23140",,"320","Micro","32,455","Frankfort, IN",,"Lafayette-West Lafayette-Frankfort, IN"
"23180",,"336","Micro","71,986","Frankfort, KY",,"Lexington-Fayette--Richmond--Frankfort, KY"
"23240",,"314","Micro","25,939","Fredericksburg, TX",,"Kerrville-Fredericksburg, TX"
"23300",,"466","Micro","45,839","Freeport, IL",,"Rockford-Freeport-Rochelle, IL"
"23340",,"420","Micro","36,576","Fremont, NE",,"Omaha-Council Bluffs-Fremont, NE-IA"
"23380",,"534","Micro","59,559","Fremont, OH",,"Toledo-Findlay-Tiffin, OH"
"23420",,"260","Metro","971,616","Fresno, CA",,"Fresno-Madera-Hanford, CA"
"23460",,,"Metro","103,132","Gadsden, AL",,
"23500",,"273","Micro","56,549","Gaffney, SC",,"Greenville-Spartanburg-Anderson, SC"
"23540",,"264","Metro","277,056","Gainesville, FL",,"Gainesville-Lake City, FL"
"23580",,"122","Metro","192,865","Gainesville, GA",,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
"23620",,"206","Micro","39,064","Gainesville, TX",,"Dallas-Fort Worth, TX-OK"
"23660",,,"Micro","51,374","Galesburg, IL",,
"23700",,,"Micro","72,849","Gallup, NM",,
"23780",,,"Micro","41,028","Garden City, KS",,
"23820",,"456","Micro","47,632","Gardnerville Ranchos, NV",,"Reno-Carson City-Fernley, NV"
"23860",,"396","Micro","61,065","Georgetown, SC",,"Myrtle Beach-Conway, SC-NC"
"23900",,"276","Metro","101,589","Gettysburg, PA",,"Harrisburg-York-Lebanon, PA"
"23940",,,"Micro","48,116","Gillette, WY",,
"23980",,"150","Micro","53,408","Glasgow, KY",,"Bowling Green-Glasgow, KY"
"24020",,"104","Metro","126,884","Glens Falls, NY",,"Albany-Schenectady, NY"
"24060",,"233","Micro","75,692","Glenwood Springs, CO",,"Edwards-Glenwood Springs, CO"
"24100",,"104","Micro","53,955","Gloversville, NY",,"Albany-Schenectady, NY"
"24140",,,"Metro","124,496","Goldsboro, NC",,
"24180",,"206","Micro","55,286","Granbury, TX",,"Dallas-Fort Worth, TX-OK"
"24220",,,"Metro","101,694","Grand Forks, ND-MN",,
"24260",,,"Metro","84,596","Grand Island, NE",,
"24300",,,"Metro","148,798","Grand Junction, CO",,
"24330",,,"Micro","45,237","Grand Rapids, MN",,
"24340",,"266","Metro","1,039,182","Grand Rapids-Kentwood, MI",,"Grand Rapids-Kentwood-Muskegon, MI"
"24380",,,"Micro","27,049","Grants, NM",,
